filename,psnr,ssim,mae,mse,lpips
00001.png,15.5170,0.6436,0.1347,0.0281,0.2440
00005.png,20.0338,0.7168,0.0836,0.0099,0.1359
00017.png,11.7476,0.4754,0.2476,0.0669,0.3423
00040.png,20.5725,0.6561,0.0733,0.0088,0.2479
00043.png,16.3212,0.6478,0.1370,0.0233,0.2468
00051.png,21.2843,0.6304,0.0724,0.0074,0.2490
00059.png,20.0156,0.6310,0.0834,0.0100,0.2184
00079.png,15.9394,0.5618,0.1515,0.0255,0.3113
00091.png,23.4621,0.5840,0.0545,0.0045,0.3188
00101.png,17.7203,0.5571,0.1155,0.0169,0.3079
average,18.2614,0.6104,0.1153,0.0201,0.2622
