filename,psnr,ssim,mae,mse,lpips
00001.png,15.5025,0.6460,0.1350,0.0282,0.2527
00005.png,19.9839,0.7274,0.0837,0.0100,0.1390
00017.png,11.7293,0.4872,0.2485,0.0672,0.3366
00040.png,20.5876,0.6686,0.0729,0.0087,0.2528
00043.png,16.3146,0.6712,0.1374,0.0234,0.2443
00051.png,21.3491,0.6345,0.0721,0.0073,0.2540
00059.png,20.0717,0.6637,0.0830,0.0098,0.2112
00079.png,15.9161,0.5796,0.1524,0.0256,0.3180
00091.png,23.6056,0.6119,0.0538,0.0044,0.3188
00101.png,17.7026,0.5671,0.1159,0.0170,0.3134
average,18.2763,0.6257,0.1155,0.0202,0.2641
