filename,psnr,ssim,mae,mse,lpips
00001.png,15.5231,0.6436,0.1350,0.0280,0.2402
00005.png,20.1841,0.7200,0.0819,0.0096,0.1195
00017.png,11.9029,0.4689,0.2418,0.0645,0.3350
00040.png,20.7264,0.6696,0.0717,0.0085,0.2347
00043.png,16.4579,0.6508,0.1338,0.0226,0.2308
00051.png,21.0362,0.6459,0.0739,0.0079,0.2060
00059.png,20.0390,0.6235,0.0825,0.0099,0.2316
00079.png,16.1881,0.5572,0.1459,0.0241,0.3028
00091.png,23.1857,0.5814,0.0559,0.0048,0.3307
00101.png,17.8634,0.5521,0.1126,0.0164,0.3158
average,18.3107,0.6113,0.1135,0.0196,0.2547
