filename,psnr,ssim,mae,mse,lpips
00001.png,15.6452,0.6367,0.1335,0.0273,0.2316
00005.png,20.1576,0.7146,0.0823,0.0096,0.1167
00017.png,12.0890,0.4636,0.2338,0.0618,0.3321
00040.png,20.8883,0.6697,0.0702,0.0082,0.2325
00043.png,16.6760,0.6388,0.1289,0.0215,0.2262
00051.png,20.6358,0.6442,0.0766,0.0086,0.2031
00059.png,20.0224,0.6205,0.0818,0.0099,0.2291
00079.png,16.5310,0.5565,0.1381,0.0222,0.3019
00091.png,22.6990,0.5784,0.0583,0.0054,0.3298
00101.png,17.7770,0.5438,0.1109,0.0167,0.3181
average,18.3121,0.6067,0.1114,0.0191,0.2521
