filename,psnr,ssim,mae,mse,lpips
00001.png,9.6292,0.4803,0.3021,0.1089,0.2640
00005.png,10.0554,0.5036,0.3018,0.0987,0.1576
00017.png,6.8942,0.2774,0.4197,0.2044,0.3871
00040.png,8.7870,0.5407,0.3523,0.1322,0.2455
00043.png,7.5394,0.5101,0.4062,0.1762,0.2606
00051.png,12.5830,0.5053,0.2153,0.0552,0.1885
00059.png,9.0767,0.5182,0.3402,0.1237,0.2209
00079.png,7.2671,0.4520,0.4246,0.1876,0.3386
00091.png,10.3556,0.5959,0.2928,0.0921,0.2798
00101.png,9.8322,0.3795,0.2874,0.1039,0.3452
average,9.2020,0.4763,0.3342,0.1283,0.2688
