filename,psnr,ssim,mae,mse,lpips
00001.png,15.5723,0.6521,0.1342,0.0277,0.2395
00005.png,20.6070,0.7428,0.0771,0.0087,0.1148
00017.png,12.0067,0.4929,0.2402,0.0630,0.3177
00040.png,21.0111,0.6893,0.0689,0.0079,0.2199
00043.png,16.6747,0.6830,0.1306,0.0215,0.2097
00051.png,21.4103,0.6583,0.0717,0.0072,0.2207
00059.png,20.4920,0.6601,0.0768,0.0089,0.2023
00079.png,16.5234,0.5847,0.1403,0.0223,0.2908
00091.png,23.3424,0.6058,0.0545,0.0046,0.3099
00101.png,17.9753,0.5685,0.1108,0.0159,0.3070
average,18.5615,0.6338,0.1105,0.0188,0.2432
