filename,psnr,ssim,mae,mse,lpips
00001.png,15.4730,0.5926,0.1305,0.0284,0.2906
00005.png,20.7547,0.7212,0.0743,0.0084,0.1449
00017.png,14.1696,0.5046,0.1750,0.0383,0.3605
00040.png,20.7888,0.6697,0.0707,0.0083,0.2346
00043.png,17.0251,0.6621,0.1201,0.0198,0.2376
00051.png,19.4348,0.6146,0.0863,0.0114,0.2724
00059.png,20.8251,0.6389,0.0732,0.0083,0.2284
00079.png,18.7784,0.5391,0.0978,0.0132,0.3691
00091.png,21.7655,0.5779,0.0628,0.0067,0.3505
00101.png,19.7606,0.5458,0.0829,0.0106,0.3568
average,18.8776,0.6067,0.0974,0.0153,0.2845
