filename,psnr,ssim,mae,mse,lpips,delta_ab
00001.png,15.6696,0.6587,0.1337,0.0271,0.2379,11.8296
00005.png,20.6169,0.7464,0.0777,0.0087,0.1168,11.4614
00017.png,11.9000,0.4913,0.2434,0.0646,0.3213,8.7976
00040.png,20.9517,0.6935,0.0696,0.0080,0.2216,7.2859
00043.png,16.5409,0.6806,0.1331,0.0222,0.2190,7.6599
00051.png,21.6306,0.6644,0.0698,0.0069,0.2171,10.5267
00059.png,20.4401,0.6580,0.0782,0.0090,0.2113,8.7920
00079.png,16.2613,0.5843,0.1455,0.0237,0.2949,7.2231
00091.png,23.4927,0.6081,0.0540,0.0045,0.3156,6.6622
00101.png,17.8783,0.5679,0.1128,0.0163,0.3109,10.4162
average,18.5382,0.6353,0.1118,0.0191,0.2466,9.0655
