filename,psnr,ssim,mae,mse,lpips,delta_ab
00001.png,15.5542,0.6504,0.1343,0.0278,0.2415,12.5629
00005.png,20.4324,0.7388,0.0791,0.0091,0.1176,12.0714
00017.png,11.9107,0.4889,0.2430,0.0644,0.3221,8.9983
00040.png,20.8845,0.6856,0.0702,0.0082,0.2241,7.7267
00043.png,16.5242,0.6724,0.1330,0.0223,0.2206,8.1200
00051.png,21.3701,0.6567,0.0718,0.0073,0.2196,11.2778
00059.png,20.3303,0.6501,0.0790,0.0093,0.2140,9.3544
00079.png,16.2829,0.5781,0.1449,0.0235,0.2965,7.4931
00091.png,23.4170,0.5993,0.0544,0.0046,0.3178,6.9758
00101.png,17.8851,0.5651,0.1125,0.0163,0.3119,10.6547
average,18.4591,0.6285,0.1122,0.0193,0.2486,9.5235
