config,method,bilateral_diameter,bilateral_sigma_color,bilateral_sigma_space,guided_radius,guided_eps,tmin,gamma,psnr,ssim,mae,mse,lpips
bilateral_d3,bilateral,3,0.1,15,8,0.001,0.1,0.8,18.26138,0.6103999999999999,0.11535,0.020130000000000002,0.26223
bilateral_d5,bilateral,5,0.1,15,8,0.001,0.1,0.8,18.27009,0.61058,0.11503,0.02004,0.27673000000000003
bilateral_d9,bilateral,9,0.1,15,8,0.001,0.1,0.8,18.28406,0.61075,0.11438999999999996,0.019850000000000003,0.26181
bilateral_d15,bilateral,15,0.1,15,8,0.001,0.1,0.8,18.30939,0.61091,0.11346,0.0196,0.25439
bilateral_d25,bilateral,25,0.1,15,8,0.001,0.1,0.8,18.34604,0.61304,0.11224,0.019280000000000002,0.2516
bilateral_d35,bilateral,35,0.1,15,8,0.001,0.1,0.8,18.37852,0.6152899999999999,0.11127000000000001,0.018999999999999996,0.25084
bilateral_sc001,bilateral,15,0.01,15,8,0.001,0.1,0.8,18.2763,0.62572,0.11547,0.02016,0.26408
bilateral_sc003,bilateral,15,0.03,15,8,0.001,0.1,0.8,18.30581,0.6214299999999999,0.11474999999999999,0.019969999999999998,0.26271
bilateral_sc005,bilateral,15,0.05,15,8,0.001,0.1,0.8,18.33106,0.6181100000000002,0.11396999999999999,0.01975,0.25775
bilateral_sc010,bilateral,15,0.1,15,8,0.001,0.1,0.8,18.30939,0.61091,0.11346,0.0196,0.25439
bilateral_sc020,bilateral,15,0.2,15,8,0.001,0.1,0.8,18.27774,0.60573,0.11344000000000001,0.0196,0.25421
bilateral_sc040,bilateral,15,0.4,15,8,0.001,0.1,0.8,18.25497,0.60349,0.11351,0.019660000000000004,0.25461
bilateral_ss3,bilateral,15,0.1,3,8,0.001,0.1,0.8,18.31064,0.61271,0.11386,0.019720000000000005,0.25762999999999997
bilateral_ss7,bilateral,15,0.1,7,8,0.001,0.1,0.8,18.31068,0.6113000000000001,0.1135,0.01963,0.25471
bilateral_ss15,bilateral,15,0.1,15,8,0.001,0.1,0.8,18.30939,0.61091,0.11346,0.0196,0.25439
bilateral_ss30,bilateral,15,0.1,30,8,0.001,0.1,0.8,18.309089999999998,0.6108399999999999,0.11344000000000001,0.0196,0.25432
bilateral_ss60,bilateral,15,0.1,60,8,0.001,0.1,0.8,18.30899,0.61083,0.11345000000000001,0.0196,0.25431
bilateral_ss90,bilateral,15,0.1,90,8,0.001,0.1,0.8,18.308980000000002,0.61082,0.11345000000000001,0.0196,0.25431
guided_r2,guided,15,0.1,15,2,0.001,0.1,0.8,18.32167,0.6192200000000001,0.11444000000000001,0.019869999999999995,0.26307
guided_r4,guided,15,0.1,15,4,0.001,0.1,0.8,18.37509,0.6229000000000001,0.11358000000000001,0.01963,0.25458
guided_r8,guided,15,0.1,15,8,0.001,0.1,0.8,18.45914,0.62854,0.11222000000000001,0.01928,0.24857
guided_r16,guided,15,0.1,15,16,0.001,0.1,0.8,18.56152,0.63375,0.11051,0.018770000000000002,0.24322999999999997
guided_r24,guided,15,0.1,15,24,0.001,0.1,0.8,18.61993,0.63574,0.10949,0.018490000000000003,0.24023
guided_r32,guided,15,0.1,15,32,0.001,0.1,0.8,18.65699,0.63681,0.10876,0.018309999999999996,0.23864999999999997
guided_eps1e-6,guided,15,0.1,15,8,1e-06,0.1,0.8,18.27268,0.6280100000000001,0.1156,0.02021,0.26625
guided_eps1e-5,guided,15,0.1,15,8,1e-05,0.1,0.8,18.28217,0.62987,0.11548,0.02017,0.26119000000000003
guided_eps1e-4,guided,15,0.1,15,8,0.0001,0.1,0.8,18.331809999999997,0.6317299999999999,0.11470999999999998,0.019950000000000002,0.25423
guided_eps1e-3,guided,15,0.1,15,8,0.001,0.1,0.8,18.45914,0.62854,0.11222000000000001,0.01928,0.24857
guided_eps1e-2,guided,15,0.1,15,8,0.01,0.1,0.8,18.397029999999997,0.6138200000000001,0.11122000000000001,0.019,0.24985
guided_eps1e-1,guided,15,0.1,15,8,0.1,0.1,0.8,18.312130000000003,0.6066800000000001,0.11144000000000001,0.019119999999999998,0.25211
guided_tmin002,guided,15,0.1,15,8,0.001,0.02,0.8,18.371640000000003,0.5912200000000001,0.10013000000000001,0.016550000000000002,0.30855
guided_tmin005,guided,15,0.1,15,8,0.001,0.05,0.8,18.87756,0.60665,0.09736,0.015340000000000001,0.28453999999999996
guided_tmin008,guided,15,0.1,15,8,0.001,0.08,0.8,18.874140000000004,0.6218899999999999,0.10232,0.016579999999999998,0.26157
guided_tmin010,guided,15,0.1,15,8,0.001,0.1,0.8,18.45914,0.62854,0.11222000000000001,0.01928,0.24857
guided_tmin015,guided,15,0.1,15,8,0.001,0.15,0.8,15.77497,0.62906,0.16476000000000002,0.03482,0.23617
guided_tmin025,guided,15,0.1,15,8,0.001,0.25,0.8,11.379859999999999,0.56306,0.26783,0.08185,0.24901
guided_gamma04,guided,15,0.1,15,8,0.001,0.1,0.4,9.201979999999999,0.47630000000000006,0.33424,0.12829000000000002,0.26878
guided_gamma06,guided,15,0.1,15,8,0.001,0.1,0.6,12.224329999999998,0.6090099999999999,0.24033000000000002,0.06747,0.24297999999999997
guided_gamma08,guided,15,0.1,15,8,0.001,0.1,0.8,18.45914,0.62854,0.11222000000000001,0.01928,0.24857
guided_gamma10,guided,15,0.1,15,8,0.001,0.1,1.0,14.35496,0.536,0.16711,0.040959999999999996,0.31477999999999995
guided_gamma12,guided,15,0.1,15,8,0.001,0.1,1.2,10.639349999999999,0.51849,0.26316000000000006,0.09512000000000001,0.45703000000000005
guided_gamma14,guided,15,0.1,15,8,0.001,0.1,1.4,8.7632,0.47499,0.32562,0.13959,0.5776800000000001
