filename,psnr,ssim,mae,mse,lpips,delta_ab
00001.png,15.6371,0.6517,0.1344,0.0273,0.2371,11.8531
00005.png,20.3589,0.7263,0.0804,0.0092,0.1191,11.4529
00017.png,11.8991,0.4705,0.2419,0.0646,0.3341,8.7965
00040.png,20.7933,0.6765,0.0711,0.0083,0.2317,7.2770
00043.png,16.4794,0.6578,0.1337,0.0225,0.2286,7.6562
00051.png,21.2448,0.6521,0.0722,0.0075,0.2042,10.5885
00059.png,20.1395,0.6301,0.0817,0.0097,0.2286,8.8134
00079.png,16.1768,0.5621,0.1462,0.0241,0.3012,7.2228
00091.png,23.2415,0.5891,0.0556,0.0047,0.3279,6.6671
00101.png,17.8608,0.5541,0.1128,0.0164,0.3148,10.4196
average,18.3831,0.6170,0.1130,0.0194,0.2527,9.0747
