filename,psnr,ssim,mae,mse,lpips,delta_ab
00001.png,16.2885,0.7314,0.1238,0.0235,0.2375,6.5650
00005.png,20.7758,0.7754,0.0718,0.0084,0.1576,10.4144
00017.png,12.0234,0.5229,0.2377,0.0628,0.3410,7.6235
00040.png,21.0592,0.7326,0.0688,0.0078,0.2789,11.7065
00043.png,16.5467,0.7169,0.1288,0.0221,0.2580,8.3430
00051.png,21.3137,0.7331,0.0680,0.0074,0.2298,10.0107
00059.png,21.0748,0.6957,0.0705,0.0078,0.2764,11.8660
00079.png,16.4661,0.6287,0.1429,0.0226,0.2860,4.5592
00091.png,23.5884,0.6609,0.0545,0.0044,0.3248,4.1419
00101.png,17.5171,0.6137,0.1154,0.0177,0.3463,10.1503
average,18.6654,0.6811,0.1082,0.0184,0.2736,8.5381
