filename,psnr,ssim,mae,mse,lpips,delta_ab
00001.png,16.3262,0.7394,0.1229,0.0233,0.2364,6.5454
00005.png,21.0588,0.8006,0.0691,0.0078,0.1526,10.4082
00017.png,12.0239,0.5465,0.2392,0.0627,0.3272,7.6179
00040.png,21.2121,0.7543,0.0676,0.0076,0.2675,11.7050
00043.png,16.6089,0.7433,0.1282,0.0218,0.2468,8.3325
00051.png,21.8518,0.7517,0.0652,0.0065,0.2384,10.0121
00059.png,21.5257,0.7304,0.0669,0.0070,0.2567,11.8630
00079.png,16.5553,0.6558,0.1422,0.0221,0.2790,4.5580
00091.png,23.8637,0.6845,0.0528,0.0041,0.3105,4.1383
00101.png,17.5296,0.6304,0.1156,0.0177,0.3409,10.1496
average,18.8556,0.7037,0.1070,0.0181,0.2656,8.5330
